tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,6.0188933045303665,6.0188933045303665,46.18840047468249,0,382.3744746491099,0,0,0,0,0,0,15,8.981106695469634,8.981106695469634,112943.20899796466,0,0,4.198945497698408,4.198945497698408,0,0,0.8196131664232408,agent,3.5699478068319648,1.75,0,0,0
1,1,5,8.887733351998605,8.887733351998605,54.55450000000001,0,374.88660210009033,0,0,0,0,0,0,15,6.112266648001395,6.112266648001395,193613.92049999998,0,0,4.6188400474682485,4.6188400474682485,0,0,0.9680696025000002,agent,0,1.75,0,0,0
2,1,5,13.250000000000004,13.250000000000004,54.55450000000001,0,371.3186051942047,0,0,0,0,0,0,15,1.7499999999999964,1.7499999999999964,92257.6959954853,0,0,2.5995406028595465,2.5995406028595465,0,0,0.9680696025000002,agent,3.512726045141848,1.75,0.5,0.5,0.5
3,1,5,13.250000000000002,13.250000000000002,54.55450000000001,0,368.916644409891,0,0,0,0,0,0,15,1.7499999999999982,1.7499999999999982,62107.49999999988,0,0,1.7499999999999964,1.7499999999999964,0,0,0.9680696025000002,agent,0,1.75,1,1,1
4,1,5,13.25,13.25,54.55450000000001,5.667413358305476,368.916644409891,0,0,234.9613543284184,117.4806771642092,0,0,15,1.75,1.75,0,0,0,0,0,2.0240761993948126,2.0240761993948126,0.9680696025000002,agent,3.7740761993947984,1.75,1.5,1.5,1.5
5,1,5,13.249999999999998,13.249999999999998,54.55450000000001,8.924458872577897,368.916644409891,0,0,228.79006368418555,114.39503184209278,0,0,15,1.7500000000000018,1.7500000000000018,0,0,0,0,0,1.163230540811579,1.163230540811579,0.9680696025000002,agent,2.9132305408115706,1.75,2,2,2
6,1,5,13.116461955879688,13.116461955879688,54.55450000000001,4.398365396114723,368.916644409891,67.79100419374767,33.895502096873834,228.79006368418558,114.39503184209279,0,0,15,1.8835380441203124,1.8835380441203124,0,0,0,1.616461955879705,1.616461955879705,0,0,0.9680696025000002,agent,0,1.75,2.5,2.5,2.5
7,2,5,13.99734446467073,13.99734446467073,54.55450000000001,12.798365396114725,368.916644409891,67.79100419374767,33.895502096873834,193.13540277675543,96.56770138837771,0,0,35,21.002655535329268,21.002655535329268,0,0,0,0,0,3,3,0.9680696025000002,agent,5.630882508791027,1.75,2.300000000000008,2.3000000000000043,2.3000000000000043
8,2,5,20.36867327038247,20.36867327038247,54.55450000000001,0.20911217565296716,368.916644409891,171.0948021996718,85.5474010998359,193.13540277675543,96.56770138837771,0,0,35,14.63132672961753,14.63132672961753,0,0,0,4.496161864450627,4.496161864450627,0,0,0.9680696025000002,agent,4.675166941261098,2.8000000000000003,2.100000000000007,2.099999999999996,2.099999999999996
9,2,5,26.87364999941078,26.87364999941078,55.00000000000001,0,362.09525822148555,16.79073517684502,8.39536758842251,0,0,0,0,35,8.12635000058922,8.12635000058922,176380.58267359866,0,0,5,5,0,0,0.9759750000000001,agent,4.304976729028364,2.8000000000000003,1.8999999999999944,1.9000000000000035,1.9000000000000035
10,2,5,32.199999999999946,32.199999999999946,55.00000000000001,0,356.13323835474455,3.529848081316761,1.7649240406583806,0,0,0,0,35,2.800000000000054,2.800000000000054,154159.94769432186,0,0,4.343757331482724,4.343757331482724,0,0,0.9759750000000001,agent,3.782592669106457,2.8000000000000003,2.3999999999999906,2.400000000000004,2.400000000000004
11,2,5,32.20000000000014,32.20000000000014,55.00000000000001,0,352.29010109984256,1.7328345126463753,0.8664172563231877,0,0,0,0,35,2.799999999999862,2.799999999999862,99372.00000000198,0,0,2.800000000000054,2.800000000000054,0,0,0.9759750000000001,agent,0,2.8000000000000003,2.899999999999989,2.8999999999999995,2.8999999999999995
12,2,5,31.622817439346854,31.622817439346854,55.00000000000001,0,352.29010109984256,1.7328345126463753,0.8664172563231877,0,0,0,0,35,3.3771825606531465,3.3771825606531465,0,0,0,0,0,0,0,0.9759750000000001,agent,2.222817439346863,2.8000000000000003,3.399999999999987,3.3999999999999964,3.3999999999999964
13,2,5,32.20000000000014,32.20000000000014,55.00000000000001,4.165185802180304,352.29010109984256,1.7328345126463753,0.8664172563231877,109.36518404752714,54.68259202376357,0,0,35,2.799999999999862,2.799999999999862,0,0,0,0,0,1.487566357921537,1.487566357921537,0.9759750000000001,agent,4.86474891857469,2.8000000000000003,3.899999999999986,3.899999999999994,3.899999999999994
14,2,5,31.44907996123073,31.44907996123073,55,0,351.5193961541242,30.66688033828382,15.33344016914191,0,0,0,0,35,3.55092003876927,3.55092003876927,19928.11778144026,0,0,2.049079961230646,2.049079961230646,0,0,0.975975,agent,0,2.8000000000000003,4.399999999999985,4.3999999999999915,4.3999999999999915
15,2,5,32.20000000000014,32.20000000000014,55,3.2393789006368787,351.5193961541242,30.66688033828382,15.33344016914191,105.9640049087948,52.9820024543974,0,0,35,2.799999999999862,2.799999999999862,0,0,0,0,0,1.1569210359417426,1.1569210359417426,0.975975,agent,4.70784107471108,2.8000000000000003,4.899999999999985,4.8999999999999915,4.8999999999999915
16,2,5,31.6015000000001,31.6015000000001,55,0,350.08566032110303,40.68121656862683,20.340608284313415,0,0,0,0,35,3.398499999999899,3.398499999999899,37072.10743442795,0,0,2.2015000000000113,2.2015000000000113,0,0,0.975975,agent,0,2.8000000000000003,5.399999999999995,5.399999999999989,5.399999999999989
17,3,5,32.199999999999854,32.199999999999854,55,5.80265481417814,350.08566032110303,40.68121656862683,20.340608284313415,101.86164586803,50.930822934015,0,0,25,0,0,0,0,0,0,0,2.072376719349336,2.072376719349336,0.975975,agent,5.470876719349173,2.8000000000000003,5.200000000000021,5.199999999999996,5.199999999999996
18,3,5,30.64346932101548,30.64346932101548,55,14.20265481417814,350.08566032110303,40.68121656862683,20.340608284313415,146.15430491022224,49.19252083836262,0,0,25,0,0,0,0,0,0,0,3,3,0.975975,agent,4.94346932101561,3.5,4.999999999999999,4.999999999999999,4.999999999999999
19,3,5,28.29780240958268,28.29780240958268,55,15.779092702169626,353.43054370934254,40.68121656862683,20.340608284313415,156.29013667452142,48.41087921734794,1.4791372483590584,0.45816285147483704,25,0,0,0,1.3517322893302469E7,4186991.577672838,0,0,3,3,0.975975,agent,4.154333088567141,3.5,5.499999999999999,5.499999999999999,5.499999999999999
20,3,5,24.652696559251304,24.652696559251304,55,15.779092702169626,357.5481907681661,40.68121656862683,20.340608284313415,163.49151485350583,48.290511179417166,3.3449271121130977,1.0090165083931597,25,0.34730344074869635,0.34730344074869635,0,1.7406941586452767E7,5141490.725272547,0,0,3,3,0.975975,agent,2.8548941496686906,3.5,5.999999999999999,5.999999999999999,5.999999999999999
21,3,5,21.152696559251336,21.152696559251336,55,15.779092702169626,357.5481907681661,40.68121656862683,20.340608284313415,163.49151485350583,48.290511179417166,3.3449271121130977,1.0090165083931597,25,3.8473034407486644,3.8473034407486644,0,0,0,0,0,0,0,0.975975,agent,0,3.5,6.499999999999999,6.499999999999999,6.499999999999999
22,3,5,20.626751834667466,20.626751834667466,55,15.30188985272064,357.5481907681661,44.486763600005006,21.206697459856656,163.49151485350583,48.290511179417166,3.3449271121130977,1.0090165083931597,25,4.373248165332534,4.373248165332534,0,0,0,0.17042958908892344,0.17042958908892344,0,0,0.975975,agent,2.8036256863272175,3.5,6.999999999999999,6.999999999999999,6.999999999999999
23,3,5,17.331967149585402,17.331967149585402,55,14.727286970950436,357.5481907681661,48.927054055499035,22.217245343790868,163.49151485350586,48.29051117941716,3.3449271121130977,1.0090165083931597,25,7.668032850414598,7.668032850414598,0,0,0,0.20521531491793055,0.20521531491793055,0,0,0.975975,agent,0,3.5,6.799999999999974,6.799999999999993,6.799999999999993
24,3,5,14.036123494209898,14.036123494209898,55,14.155649206001955,357.5481907681661,53.179610699206854,23.185067642958725,163.49151485350583,48.29051117941716,3.3449271121130977,1.0090165083931597,25,10.963876505790102,10.963876505790102,0,0,0,0.2041563446244571,0.2041563446244571,0,0,0.975975,agent,0,3.5,6.599999999999988,6.600000000000013,6.600000000000013
25,3,5,14.35562564322843,14.35562564322843,55,3.4610431887501165,357.5481907681661,129.78625705914672,40.61966683197072,163.4915148535058,48.290511179417145,3.3449271121130977,1.0090165083931597,25,10.64437435677157,10.64437435677157,0,0,0,3.8195021490185144,3.8195021490185144,0,0,0.975975,agent,0,3.5,6.400000000000008,6.399999999999987,6.399999999999987
26,3,5,17.595840032995735,17.595840032995735,55,0,355.6853374074161,106.15965795512142,32.56901125431412,0,0,3.3449271121130977,1.00901650839316,25,7.404159967004265,7.404159967004265,48167.79934891069,0,0,2.5933085873856987,2.5933085873856987,0,0,0.975975,agent,4.146905802381626,3.5,6.200000000000024,6.200000000000003,6.200000000000003
27,3,5,21.500000000000014,21.500000000000014,55,0,349.252150673029,18.542139797978553,5.673950692298316,0,0,3.3449271121130977,1.00901650839316,25,3.499999999999986,3.499999999999986,166342.9093910479,0,0,4.687036049339188,4.687036049339188,0,0,0.975975,agent,2.7171239176651256,3.5,6.700000000000026,6.700000000000006,6.700000000000006
28,3,5,21.499999999999986,21.499999999999986,55,2.051736301273445,349.252150673029,18.542139797978553,5.673950692298316,234.98776047957386,66.53167552587121,3.3449271121130977,1.00901650839316,25,3.500000000000014,3.500000000000014,0,0,0,0,0,0.732762964740516,0.732762964740516,0.975975,agent,4.232762964740453,3.5,7.200000000000027,7.200000000000009,7.200000000000009
29,3,5,20.59330858738571,20.59330858738571,55,0,346.6984606027317,42.23818110282439,12.203944146956276,0,0,3.344927112113098,1.00901650839316,25,4.40669141261429,4.40669141261429,66030.76414767746,0,0,2.5933085873856987,2.5933085873856987,0,0,0.975975,agent,0,3.5,7.700000000000028,7.700000000000012,7.700000000000012
30,3,5,21.499999999999986,21.499999999999986,55,0,340.65006062463357,11.07625958109823,3.2343820579209197,0,0,3.344927112113098,1.0090165083931601,25,3.500000000000014,3.500000000000014,156393.47823368106,0,0,4.40669141261429,4.40669141261429,0,0,0.975975,agent,0,3.5,8.20000000000003,8.200000000000014,8.200000000000014
31,3,6,21.499999999999996,21.499999999999996,55,5.194959573159562,340.65006062463357,11.07625958109823,3.2343820579209197,227.47466675363398,64.48568644669986,3.344927112113098,1.0090165083931601,25,3.5000000000000036,3.5000000000000036,0,0,0,0,0,1.8553427046998436,1.8553427046998436,0.975975,agent,5.355342704699865,3.5,8.70000000000003,8.700000000000017,8.700000000000017
32,3,6,21.5,21.5,55,7.760931595003585,340.65006062463357,11.07625958109823,3.2343820579209197,224.81522796772708,63.731775085405616,3.344927112113098,1.0090165083931601,25,3.5,3.5,0,0,0,0,0,0.9164185792300081,0.9164185792300081,0.975975,agent,4.41641857923003,3.5,9.200000000000031,9.200000000000017,9.200000000000017
33,3,6,21.500000000000014,21.500000000000014,55,9.984590575969035,340.65006062463357,11.07625958109823,3.2343820579209197,222.1115077484536,62.965310596027976,3.344927112113098,1.0090165083931601,25,3.499999999999986,3.499999999999986,0,0,0,0,0,0.7941639217733751,0.7941639217733751,0.975975,agent,4.2941639217734195,3.5,9.700000000000031,9.700000000000019,9.700000000000019
34,3,6,21.500000000000014,21.500000000000014,55,10.407772102638289,340.65006062463357,11.07625958109823,3.2343820579209197,221.6758581154211,62.84181040131496,3.344927112113098,1.0090165083931601,25,3.499999999999986,3.499999999999986,0,0,0,0,0,0.15113625952473342,0.15113625952473342,0.975975,agent,3.6511362595247236,3.5,10.200000000000022,10.200000000000019,10.200000000000019
