tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,3.1913427226016946,3.1913427226016946,28.176951253874332,3.7253805175662986,386.74246819043196,0,0,0,0,0,0,15,11.808657277398305,11.808657277398305,0,0,0,1.4872020833994692,1.4872020833994692,0,0,0.5,agent,3.154140639202234,1.45,0,0,0
1,1,5,8.259733326662511,8.259733326662511,28.176951253874332,0,386.66068740067794,0,0,0,0,0,0,15,6.740266673337489,6.740266673337489,2114.6058806704023,0,0,1.3900761888087696,1.3900761888087696,0,0,0.5,agent,5.128314415252028,1.45,0,0,0
2,1,5,13.267153591635793,13.267153591635793,34.10595687126842,0,381.9794776340333,0,0,0,0,0,0,15,1.7328464083642068,1.7328464083642068,121042.04093613161,0,0,2.8176951253874325,2.8176951253874325,0,0,0.6052102046806581,agent,3.639725139585844,1.45,0.5,0.5,0.5
3,1,5,13.54999999999997,13.54999999999997,34.10595687126842,0,379.601060995102,0,0,0,0,0,0,15,1.4500000000000295,1.4500000000000295,61498.71903284569,0,0,1.7328464083642068,1.7328464083642068,0,0,0.6052102046806581,agent,0,1.45,1,1,1
4,1,5,14.612926243395865,14.612926243395865,34.10595687126842,8.4,379.601060995102,0,0,209.831373679356,104.915686839678,0,0,15,0.3870737566041349,0.3870737566041349,0,0,0,0,0,3,3,0.6052102046806581,agent,5.512926243395898,1.45,1.5,1.5,1.5
5,1,5,14.995338039284146,14.995338039284146,34.10595687126842,15.779092702169626,380.10150574894044,0,0,191.5818551560303,95.79092757801514,0.25223823871614454,0.12611911935807227,15,0.004661960715854008,0.004661960715854008,0,2479069.205719032,1239534.602859516,0,0,3,3,0.6052102046806581,agent,4.832411795888239,1.45,2,2,2
6,1,5,15.171697703376198,15.171697703376198,34.10595687126842,15.779092702169626,384.2191528077639,0,0,175.49391386403053,87.74695693201527,2.1302897750561667,1.0651448875280833,15,0,0,0,1.868483700910333E7,9342418.504551666,0,0,3,3,0.6052102046806581,agent,4.62635966409209,1.45,2.5,2.5,2.5
7,2,5,14.297546793307909,14.297546793307909,34.10595687126842,15.779092702169626,388.33679986658746,0,0,159.2721857266782,79.6360928633391,3.7965106068327183,1.8982553034163592,35,20.70245320669209,20.70245320669209,0,1.6957709614319433E7,8478854.807159716,0,0,3,3,0.6052102046806581,agent,3.575849089931714,1.45,2.300000000000008,2.3000000000000043,2.3000000000000043
8,2,5,15.729992690575674,15.729992690575674,34.10595687126842,13.976373586824478,388.33679986658746,30.066282517745247,15.033141258872623,159.2721857266782,79.6360928633391,3.7965106068327183,1.8982553034163592,35,19.270007309424326,19.270007309424326,0,0,0,0.6438282554804101,0.6438282554804101,0,0,0.6052102046806581,agent,3.108617641787328,2.32,2.100000000000007,2.099999999999996,2.099999999999996
9,2,5,18.711862889544605,18.711862889544605,34.10595687126842,12.079884548360502,388.33679986658746,55.72556000172006,27.86278000086003,159.2721857266782,79.6360928633391,3.7965106068327183,1.8982553034163592,35,16.288137110455395,16.288137110455395,0,0,0,0.6773175137371349,0.6773175137371349,0,0,0.6052102046806581,agent,4.624552685231842,2.32,1.8999999999999944,1.9000000000000035,1.9000000000000035
