tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,6.813466340924802,6.813466340924802,56.353902507748664,0,379.8797230923928,0,0,0,0,0,0,15,8.186533659075199,8.186533659075199,177450,0,0,4.999999999999992,4.999999999999992,0,0,1,rule,3.263466340924805,1.45,0,0,0
1,1,5,13.549999999999974,13.549999999999974,56.353902507748664,0,373.20622687387254,0,0,0,0,0,0,15,1.450000000000026,1.450000000000026,172556.5917222785,0,0,4.862118673493346,4.862118673493346,0,0,1,rule,3.324414985581835,1.45,0.5,0.5,0.5
2,1,5,13.549999999999974,13.549999999999974,56.353902507748664,5.535579314347636,373.20622687387254,0,0,235.61299055462464,117.80649527731232,0,0,15,1.450000000000026,1.450000000000026,0,0,0,0,0,1.9769926122670127,1.9769926122670127,1,rule,3.426992612267008,1.45,1,1,1
3,1,5,13.549999999999974,13.549999999999974,56.353902507748664,1.4755793143478286,373.20622687387254,60.62381150217842,30.31190575108921,235.61299055462473,117.80649527731237,0,0,15,1.450000000000026,1.450000000000026,0,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,1.5,1.5,1.5
4,1,5,13.549999999999974,13.549999999999974,56.353902507748664,0,371.93935398874896,67.05846413218886,33.52923206609443,0,0,0,0,15,1.450000000000026,1.450000000000026,32757.532190638827,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,2,2,2
5,1,5,13.549999999999974,13.549999999999974,56.353902507748664,5.407695018855122,371.93935398874896,67.05846413218886,33.52923206609443,213.92894706143,106.964473530715,0,0,15,1.450000000000026,1.450000000000026,0,0,0,0,0,1.931319649591115,1.931319649591115,1,rule,3.3813196495911253,1.45,2.5,2.5,2.5
6,1,5,14.377204349478005,14.377204349478005,56.353902507748664,13.807695018855123,371.93935398874896,67.05846413218886,33.52923206609443,187.47299049649246,93.73649524824623,0,0,15,0.6227956505219954,0.6227956505219954,0,0,0,0,0,3,3,1,rule,5.2772043494779926,1.45,3,3,3
7,2,5,13.549999999999974,13.549999999999974,56.353902507748664,15.779092702169626,374.99617750705175,67.05846413218886,33.52923206609443,173.66777577246182,86.83388788623091,1.415672407334343,0.7078362036671715,35,21.450000000000024,21.450000000000024,0,1.3726750616153779E7,6863375.308076889,0,0,2.931184878804304,2.931184878804304,1,rule,3.5539805293263234,1.45,2.800000000000001,2.8000000000000056,2.8000000000000056
8,2,5,19.414134583429544,19.414134583429544,56.353902507748664,1.7790927021696252,374.99617750705175,161.64757588502104,80.82378794251052,173.66777577246174,86.83388788623087,1.415672407334343,0.7078362036671715,35,15.585865416570456,15.585865416570456,0,0,0,5,5,0,0,1,rule,3.1841345834295223,2.32,2.6000000000000103,2.599999999999998,2.599999999999998
9,2,5,25.557735596010076,25.557735596010076,56.353902507748664,0,369.005536674782,38.903244178862124,19.451622089431062,0,0,1.415672407334343,0.7078362036671715,35,9.442264403989924,9.442264403989924,154900,0,0,4.999999999999984,4.999999999999984,0,0,1,rule,3.4636010125805705,2.32,2.3999999999999906,2.400000000000004,2.400000000000004
10,2,5,28.237735596010104,28.237735596010104,56.353902507748664,0,362.14279157674275,5.64239612457408,2.82119806228704,0,0,1.415672407334343,0.7078362036671715,35,6.762264403989896,6.762264403989896,177450,0,0,5.0000000000000036,5.0000000000000036,0,0,1,rule,0,2.32,2.1999999999999926,2.1999999999999957,2.1999999999999957
11,2,5,32.67999999999994,32.67999999999994,56.353902507748664,0,359.2994767757994,4.088661133824659,2.0443305669123295,0,0,1.415672407334343,0.7078362036671715,35,2.320000000000057,2.320000000000057,73519.59080799052,0,0,2.071557926401487,2.071557926401487,0,0,1,rule,4.6907064775884395,2.32,2.6999999999999975,2.6999999999999944,2.6999999999999944
12,2,5,32.67999999999994,32.67999999999994,56.353902507748664,0,356.1151630503093,2.9882344429482037,1.4941172214741019,0,0,1.415672407334343,0.7078362036671715,35,2.320000000000057,2.320000000000057,82336.79999999783,0,0,2.320000000000001,2.320000000000001,0,0,1,rule,0,2.32,3.200000000000004,3.1999999999999935,3.1999999999999935
13,2,5,32.67999999999994,32.67999999999994,56.353902507748664,0,352.9308493248193,2.3408358138785306,1.1704179069392653,0,0,1.4156724073343427,0.7078362036671714,35,2.320000000000057,2.320000000000057,82336.79999999783,0,0,2.320000000000001,2.320000000000001,0,0,1,rule,0,2.32,3.7000000000000104,3.699999999999993,3.699999999999993
14,2,5,32.67999999999994,32.67999999999994,56.353902507748664,2.2790042166698252,352.9308493248193,2.3408358138785306,1.1704179069392653,101.15586513004197,50.57793256502099,1.4156724073343427,0.7078362036671714,35,2.320000000000057,2.320000000000057,0,0,0,0,0,0.8139300773820805,0.8139300773820805,1,rule,3.1339300773820815,2.32,4.200000000000014,4.199999999999992,4.199999999999992
15,2,5,32.67999999999994,32.67999999999994,56.353902507748664,0,350.8636945290692,16.36562560848896,8.18281280424448,0,0,1.415672407334343,0.7078362036671715,35,2.320000000000057,2.320000000000057,53450.4215537078,0,0,2.320000000000001,2.320000000000001,0,0,1,rule,0,2.32,4.700000000000018,4.699999999999992,4.699999999999992
16,2,5,32.67999999999994,32.67999999999994,56.353902507748664,0,347.67938080357914,10.210969074824803,5.105484537412401,0,0,1.4156724073343427,0.7078362036671714,35,2.320000000000057,2.320000000000057,82336.79999999783,0,0,2.320000000000001,2.320000000000001,0,0,1,rule,0,2.32,5.200000000000021,5.199999999999996,5.199999999999996
17,3,5,32.67999999999994,32.67999999999994,56.353902507748664,0.02006402405498722,347.67938080357914,10.210969074824803,5.105484537412401,102.37487657303699,51.18743828651849,1.4156724073343427,0.7078362036671714,25,0,0,0,0,0,0,0,0.00716572287678115,0.00716572287678115,1,rule,2.3271657228766984,2.32,4.999999999999999,4.999999999999999,4.999999999999999
18,3,5,31.9205020985055,31.9205020985055,56.353902507748664,8.420064024055042,347.67938080357914,10.210969074824803,5.105484537412401,173.8914007284262,47.379179745257076,1.4156724073343427,0.7078362036671714,25,0,0,0,0,0,0,0,3.0000000000000195,3.0000000000000195,1,rule,5.140502098505534,2.9,4.799999999999981,4.800000000000008,4.800000000000008
19,3,5,26.020502098505535,26.020502098505535,56.353902507748664,15.779092702169626,348.1896608633269,10.210969074824803,5.105484537412401,181.87411586228384,49.523872860937324,1.6801384603465197,0.7793772426525206,25,0,0,0,2399703.7393646743,653433.4054561136,0,0,2.999999999999977,2.999999999999977,1,rule,0,2.9,5.299999999999979,5.300000000000003,5.300000000000003
20,3,5,22.099999999999955,22.099999999999955,56.353902507748664,15.779092702169626,349.5903500181385,10.210969074824803,5.105484537412401,186.34556367206199,50.736486667403106,2.420029759832633,0.9795383208211678,25,2.9000000000000448,2.9000000000000448,0,6748992.716108762,1837554.7676673252,0,0,1.020502098505607,1.020502098505607,1,rule,0,2.9,5.799999999999978,5.799999999999999,5.799999999999999
21,3,5,22.099999999999955,22.099999999999955,56.353902507748664,15.779092702169626,351.62370848150897,10.210969074824803,5.105484537412401,189.02793897533908,51.461576349040826,3.4991400768639656,1.2714642541325367,25,2.9000000000000448,2.9000000000000448,0,9938436.84474079,2705672.13105187,0,0,1.481446880455612,1.481446880455612,1,rule,4.381446880455634,2.9,6.299999999999975,6.299999999999995,6.299999999999995
22,3,5,22.099999999999955,22.099999999999955,56.353902507748664,15.779092702169626,352.82087240701543,10.210969074824803,5.105484537412401,189.49531485821933,51.58626978520633,4.130247610869382,1.4421884794022553,25,2.9000000000000448,2.9000000000000448,0,5865840.285454299,1596856.4695585258,0,0,0.872219431440413,0.872219431440413,1,rule,3.7722194314404627,2.9,6.799999999999974,6.799999999999993,6.799999999999993
23,3,5,22.099999999999955,22.099999999999955,56.353902507748664,7.659092702169529,352.82087240701543,102.47158983668976,29.02472902985374,189.4953148582193,51.58626978520633,4.130247610869382,1.4421884794022553,25,2.9000000000000448,2.9000000000000448,0,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,7.299999999999973,7.29999999999999,7.29999999999999
24,3,5,22.099999999999955,22.099999999999955,56.353902507748664,0,352.59493745709847,141.8399202370983,39.170302095319286,0,0,4.1302476108693815,1.4421884794022553,25,2.9000000000000448,2.9000000000000448,5842.000000002328,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,7.799999999999972,7.799999999999988,7.799999999999988
25,3,5,22.099999999999955,22.099999999999955,56.353902507748664,6.995809322281812,352.59493745709847,141.8399202370983,39.170302095319286,186.90671485091787,51.230984635734316,4.1302476108693815,1.4421884794022553,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,2.4985033293863617,2.4985033293863617,1,rule,5.398503329386387,2.9,8.29999999999997,8.299999999999986,8.299999999999986
26,3,5,22.099999999999955,22.099999999999955,56.353902507748664,0,352.04386359547186,152.00950189274297,41.82955776523776,0,0,4.130247610869382,1.442188479402255,25,2.9000000000000448,2.9000000000000448,14249.116840079194,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,8.79999999999997,8.799999999999983,8.799999999999983
27,3,5,22.099999999999955,22.099999999999955,56.353902507748664,0.23342449958353528,352.04386359547186,152.00950189274297,41.82955776523776,202.6842674028217,55.58936938264405,4.130247610869382,1.442188479402255,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,0.08336589270840546,0.08336589270840546,1,rule,2.9833658927084685,2.9,9.299999999999969,9.299999999999983,9.299999999999983
28,3,5,22.099999999999955,22.099999999999955,56.353902507748664,0,348.17789521291473,78.84736298853142,21.84702987556843,0,0,4.130247610869382,1.442188479402255,25,2.9000000000000448,2.9000000000000448,99962.34446777985,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,9.79999999999997,9.799999999999983,9.799999999999983
29,3,5,22.099999999999955,22.099999999999955,56.353902507748664,4.552853774055333,348.17789521291473,78.84736298853142,21.84702987556843,206.862850888393,56.75050184747165,4.130247610869382,1.442188479402255,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,1.626019205019762,1.626019205019762,1,rule,4.526019205019751,2.9,10.299999999999981,10.299999999999981,10.299999999999981
30,3,5,22.099999999999955,22.099999999999955,56.353902507748664,0,346.42929412176534,98.8934408625802,27.305097252645215,0,0,4.130247610869382,1.442188479402255,25,2.9000000000000448,2.9000000000000448,45213.57841384993,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,10.79999999999999,10.799999999999978,10.799999999999978
31,3,6,22.099999999999955,22.099999999999955,56.353902507748664,4.597309050750487,346.42929412176534,98.8934408625802,27.305097252645215,202.6968578634306,55.63113555596652,4.130247610869382,1.442188479402255,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,1.6418960895537453,1.6418960895537453,1,rule,4.541896089553764,2.9,11.299999999999997,11.299999999999978,11.299999999999978
32,3,6,22.099999999999955,22.099999999999955,56.353902507748664,0,344.70248483291755,107.9810955201477,29.784106555988682,0,0,4.130247610869382,1.4421884794022548,25,2.9000000000000448,2.9000000000000448,44650.10778173874,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,11.800000000000004,11.799999999999976,11.799999999999976
33,3,6,22.099999999999955,22.099999999999955,56.353902507748664,0,340.72209267605473,54.538929931794115,15.199213804187087,0,0,4.130247610869382,1.442188479402255,25,2.9000000000000448,2.9000000000000448,102921.00000000116,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,12.300000000000013,12.299999999999976,12.299999999999976
34,3,6,22.099999999999955,22.099999999999955,56.353902507748664,7.237187726893977,340.72209267605473,54.538929931794115,15.199213804187087,205.452862188332,56.4202808529549,4.130247610869382,1.442188479402255,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,2.5847099024621345,2.5847099024621345,1,rule,5.484709902462181,2.9,12.800000000000017,12.799999999999974,12.799999999999974
35,3,6,22.099999999999955,22.099999999999955,56.353902507748664,0,340.289341561787,120.93635053736908,33.33585417624837,0,0,4.130247610869382,1.442188479402255,25,2.9000000000000448,2.9000000000000448,11189.645561620127,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,13.300000000000026,13.299999999999974,13.299999999999974
36,3,6,22.099999999999955,22.099999999999955,56.353902507748664,2.331685512056161,340.289341561787,120.93635053736908,33.33585417624837,204.95245422918376,56.30778886132808,4.130247610869382,1.442188479402255,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,0.8327448257343432,0.8327448257343432,1,rule,3.7327448257343123,2.9,13.800000000000031,13.799999999999974,13.799999999999974
37,3,6,22.099999999999955,22.099999999999955,56.353902507748664,5.923009125725871,340.289341561787,120.93635053736908,33.33585417624837,198.8879795175578,54.64166018333114,4.130247610869382,1.442188479402255,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,1.2826155763106108,1.2826155763106108,1,rule,4.182615576310546,2.9,14.300000000000036,14.299999999999974,14.299999999999974
38,4,6,22.099999999999955,22.099999999999955,56.353902507748664,13.456340404263996,340.289341561787,120.93635053736908,33.33585417624837,186.07935863378714,51.12267270381718,4.130247610869382,1.442188479402255,0,0,0,0,0,0,0,0,2.6904754566207587,2.6904754566207587,1,rule,5.590475456620686,2.9,14.099999999999946,14.099999999999982,14.099999999999982
