tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,3.25,3.25,56.353902507748664,0,379.8797230923928,0,0,0,0,0,0,15,11.75,11.75,177450,0,0,5,5,0,0,1,rule,0,1.75,0,0,0
1,1,5,8.928723200198903,8.928723200198903,56.353902507748664,0,373.01697799435357,0,0,0,0,0,0,15,6.0712767998010975,6.0712767998010975,177450,0,0,4.999999999999977,4.999999999999977,0,0,1,rule,2.4287232001989185,1.75,0,0,0
2,1,5,13.25,13.25,56.353902507748664,0,370.99795638123754,0,0,0,0,0,0,15,1.75,1.75,52205.84185033949,0,0,1.4710014609844506,1.4710014609844506,0,0,1,rule,4.600275338816654,1.75,0.5,0.5,0.5
3,1,5,13.25,13.25,56.353902507748664,0,368.59599559692384,0,0,0,0,0,0,15,1.75,1.75,62107.5,0,0,1.75,1.75,0,0,1,rule,0,1.75,1,1,1
4,1,5,13.25,13.25,56.353902507748664,7.115872507725706,368.59599559692384,0,0,228.03219057623969,114.01609528811984,0,0,15,1.75,1.75,0,0,0,0,0,2.5413830384734664,2.5413830384734664,1,rule,4.291383038473464,1.75,1.5,1.5,1.5
5,1,5,13.25,13.25,56.353902507748664,2.2158725077257064,368.59599559692384,70.81254638106903,35.40627319053451,228.03219057623974,114.01609528811987,0,0,15,1.75,1.75,0,0,0,1.75,1.75,0,0,1,rule,0,1.75,2,2,2
6,1,5,13.25,13.25,56.353902507748664,7.201865027450453,368.59599559692384,70.81254638106903,35.40627319053451,211.27944389911977,105.63972194955988,0,0,15,1.75,1.75,0,0,0,0,0,1.7807116141874095,1.7807116141874095,1,rule,3.5307116141874206,1.75,2.5,2.5,2.5
7,2,5,13.25,13.25,56.353902507748664,2.3018650274504533,368.59599559692384,114.4327855690807,57.21639278454035,211.27944389911977,105.63972194955988,0,0,35,21.75,21.75,0,0,0,1.75,1.75,0,0,1,rule,0,1.75,2.300000000000008,2.3000000000000043,2.3000000000000043
8,2,5,20.4944005913814,20.4944005913814,56.353902507748664,0,362.86161570841915,43.72388892363894,21.86194446181947,0,0,0,0,35,14.5055994086186,14.5055994086186,148273.86077706557,0,0,4.999999999999971,4.999999999999971,0,0,1,rule,5.044400591381373,2.8000000000000003,2.100000000000007,2.099999999999996,2.099999999999996
9,2,5,27.88899805768866,27.88899805768866,56.353902507748664,0,355.99887061038,4.929868476140317,2.4649342380701587,0,0,0,0,35,7.11100194231134,7.11100194231134,177450,0,0,4.9999999999999964,4.9999999999999964,0,0,1,rule,5.1945974663072505,2.8000000000000003,1.8999999999999944,1.9000000000000035,1.9000000000000035
10,2,5,32.199999999999946,32.199999999999946,56.353902507748664,0,350.6808130518066,1.5403617024233018,0.7701808512116509,0,0,0,0,35,2.800000000000054,2.800000000000054,137509.01429203188,0,0,3.8745847926748156,3.8745847926748156,0,0,1,rule,3.2364171496365124,2.8000000000000003,2.3999999999999906,2.400000000000004,2.400000000000004
